data/livejournal-groupmemberships/livejournal.txt 
graph size:n1: 3201203 n2:7489073, m 112307385
2201229 7488933, 37405 2  0
2201229 7488974, 23933 1  0
2201230 7238418, 1 34  0
2201230 7374397, 22 33  0
2201230 7398464, 53 32  0
2201230 7433294, 64 31  0
2201230 7453550, 161 30  0
2201230 7464060, 277 29  0
2201230 7464551, 278 28  0
2201230 7477597, 404 27  0
2201230 7479883, 313 26  0
2201230 7485559, 2593 25  0
2201230 7486878, 4082 24  0
2201230 7486984, 4601 23  0
2201230 7487078, 4647 22  0
2201230 7488237, 11904 21  0
2201230 7488561, 18403 20  0
2201230 7488799, 28208 19  0
2201230 7488806, 20164 18  0
2201230 7488831, 29024 17  0
2201230 7488832, 32004 16  0
2201230 7488840, 29435 15  0
2201230 7488949, 48450 14  0
2201230 7488988, 28030 13  0
2201230 7488991, 42778 12  0
2201230 7489024, 50649 11  0
2201230 7489031, 57671 10  0
2201230 7489038, 72444 9  0
2201230 7489047, 103784 8  0
2201230 7489055, 100880 7  0
2201230 7489057, 143796 6  0
2201230 7489060, 129555 5  0
2201230 7489064, 153108 4  0
2201230 7489065, 124700 3  0
2201230 7489068, 222480 2  0
2201230 7489071, 295683 1  0
2201231 7171263, 5 32  0
2201231 7176261, 2 31  0
2201231 7304962, 18 30  0
2201231 7442501, 153 29  0
2201231 7447932, 108 28  0
2201231 7467935, 221 27  0
2201231 7473547, 470 26  0
2201231 7476376, 269 25  0
2201231 7479354, 845 24  0
2201231 7484196, 1432 23  0
2201231 7484535, 1438 22  0
2201231 7485431, 2842 21  0
2201231 7487092, 4657 20  0
2201231 7487097, 3983 19  0
2201231 7487237, 2859 18  0
2201231 7487890, 8019 17  0
2201231 7488051, 7068 16  0
2201231 7488441, 14516 15  0
2201231 7488697, 16242 14  0
2201231 7488699, 19176 13  0
2201231 7488727, 23622 12  0
2201231 7488793, 19660 11  0
2201231 7488946, 43531 10  0
2201231 7488953, 42650 9  0
2201231 7488979, 38983 8  0
2201231 7488993, 37522 7  0
2201231 7488995, 35829 6  0
2201231 7489014, 58101 5  0
2201231 7489019, 36829 4  0
2201231 7489022, 51262 3  0
2201231 7489058, 96554 2  0
2201231 7489066, 173385 1  0
2201232 6032774, 1 34  0
2201232 7332376, 13 33  0
2201232 7359918, 30 32  0
2201232 7393412, 29 31  0
2201232 7423967, 51 30  0
2201232 7448471, 147 29  0
2201232 7465411, 247 28  0
2201232 7469419, 245 27  0
2201232 7470511, 290 26  0
2201232 7473893, 371 25  0
2201232 7477229, 562 24  0
2201232 7478372, 721 23  0
2201232 7478724, 622 22  0
2201232 7479222, 667 21  0
2201232 7481504, 840 20  0
2201232 7482034, 960 19  0
2201232 7482908, 1006 18  0
2201232 7483582, 1278 17  0
2201232 7485206, 1916 16  0
2201232 7486937, 4694 15  0
2201232 7487221, 4235 14  0
2201232 7487496, 6801 13  0
2201232 7488214, 9892 12  0
2201232 7488237, 11467 11  0
2201232 7488456, 14277 10  0
2201232 7488797, 27312 9  0
2201232 7488836, 21729 8  0
2201232 7488881, 27401 7  0
2201232 7488947, 31160 6  0
2201232 7488991, 40268 5  0
2201232 7489059, 118028 4  0
2201232 7489062, 173110 3  0
2201232 7489064, 141558 2  0
2201232 7489068, 210402 1  0
2201233 6788364, 4 34  0
2201233 6887852, 6 33  0
2201233 7205970, 16 32  0
2201233 7250763, 19 31  0
2201233 7289609, 17 30  0
2201233 7290170, 20 29  0
2201233 7295076, 26 28  0
2201233 7300167, 22 27  0
2201233 7344035, 24 26  0
2201233 7351583, 38 25  0
2201233 7366114, 19 24  0
2201233 7371313, 40 23  0
2201233 7390578, 57 22  0
2201233 7392214, 58 21  0
2201233 7396757, 52 20  0
2201233 7428504, 111 19  0
2201233 7433399, 116 18  0
2201233 7437484, 139 17  0
2201233 7443574, 123 16  0
2201233 7454219, 226 15  0
2201233 7458625, 275 14  0
2201233 7461067, 266 13  0
2201233 7467576, 405 12  0
2201233 7467771, 410 11  0
2201233 7467893, 170 10  0
2201233 7470156, 475 9  0
2201233 7476524, 235 8  0
2201233 7480536, 802 7  0
2201233 7481275, 996 6  0
2201233 7485122, 1452 5  0
2201233 7486757, 2839 4  0
2201233 7488398, 5149 3  0
2201233 7488448, 3295 2  0
2201233 7488822, 7726 1  0
2201234 5894753, 1 34  0
2201234 6141611, 1 33  0
2201234 7273466, 7 31  0
2201234 7397174, 45 30  0
2201234 7436152, 98 29  0
2201234 7447066, 123 28  0
2201234 7455627, 182 27  0
2201234 7472995, 485 26  0
2201234 7474607, 354 25  0
2201234 7477173, 449 24  0
2201234 7479501, 812 23  0
2201234 7480848, 1015 22  0
2201234 7481035, 1052 21  0
2201234 7484089, 1167 20  0
2201234 7485089, 1665 19  0
2201234 7486150, 3246 18  0
2201234 7486793, 4106 17  0
2201234 7487411, 4176 16  0
2201234 7487906, 7424 15  0
2201234 7488039, 9239 14  0
2201234 7488290, 9616 13  0
2201234 7488295, 10596 12  0
2201234 7488312, 11811 11  0
2201234 7488463, 12821 10  0
2201234 7488533, 14864 9  0
2201234 7488704, 20939 8  0
2201234 7488710, 23453 7  0
2201234 7488784, 20763 6  0
2201234 7488960, 35433 5  0
2201234 7488967, 35839 4  0
2201234 7488980, 49587 3  0
2201234 7489021, 44939 2  0
2201234 7489043, 72267 1  0
2201235 6732666, 1 34  0
2201235 7193058, 8 33  0
2201235 7268467, 19 32  0
2201235 7472497, 235 31  0
2201235 7475816, 683 30  0
2201235 7476274, 331 29  0
2201235 7483151, 1766 28  0
2201235 7483177, 1968 27  0
2201235 7485937, 687 26  0
2201235 7486154, 3393 25  0
2201235 7486634, 4478 24  0
2201235 7486987, 5402 23  0
2201235 7487475, 7431 22  0
2201235 7487634, 6249 21  0
2201235 7487848, 7255 20  0
2201235 7487920, 9197 19  0
2201235 7487939, 10730 18  0
2201235 7488010, 10656 17  0
2201235 7488149, 9187 16  0
2201235 7488151, 11429 15  0
2201235 7488363, 10594 14  0
2201235 7488366, 11806 13  0
2201235 7488443, 12491 12  0
2201235 7488464, 16900 11  0
2201235 7488479, 17654 10  0
2201235 7488535, 20351 9  0
2201235 7488580, 21012 8  0
2201235 7488581, 19874 7  0
2201235 7488751, 26876 6  0
2201235 7488777, 30815 5  0
2201235 7488819, 31199 4  0
2201235 7488823, 32295 3  0
2201235 7488885, 40115 2  0
2201235 7488962, 56003 1  0
2201236 6408072, 2 35  0
2201236 7457873, 257 34  0
2201236 7466708, 374 33  0
2201236 7473568, 545 32  0
2201236 7473775, 385 31  0
2201236 7474676, 632 30  0
2201236 7480821, 1175 29  0
2201236 7481172, 1080 28  0
2201236 7483568, 1503 27  0
2201236 7485710, 3002 26  0
2201236 7486717, 4637 25  0
2201236 7486862, 4728 24  0
2201236 7487441, 6413 23  0
2201236 7487856, 7211 22  0
2201236 7488227, 10527 21  0
2201236 7488264, 6483 20  0
2201236 7488287, 11576 19  0
2201236 7488416, 8455 18  0
2201236 7488419, 15702 17  0
2201236 7488433, 16178 16  0
2201236 7488437, 16527 15  0
2201236 7488591, 17292 14  0
2201236 7488640, 21304 13  0
2201236 7488790, 27578 12  0
2201236 7488827, 28164 11  0
2201236 7488908, 24269 10  0
2201236 7488980, 57588 9  0
2201236 7489008, 66599 8  0
2201236 7489017, 68918 7  0
2201236 7489024, 49092 6  0
2201236 7489055, 98149 5  0
2201236 7489059, 124330 4  0
2201236 7489068, 210621 3  0
2201236 7489069, 222531 2  0
2201236 7489070, 230192 1  0
2201237 6462495, 1 34  0
2201237 6791623, 1 33  0
2201237 6986014, 5 32  0
2201237 7440993, 76 31  0
2201237 7454248, 162 30  0
2201237 7465252, 338 29  0
2201237 7480346, 1031 28  0
2201237 7481963, 1269 27  0
2201237 7485720, 2697 26  0
2201237 7485998, 3556 25  0
2201237 7486137, 3417 24  0
2201237 7486462, 3839 23  0
2201237 7487018, 4589 22  0
2201237 7487117, 4424 21  0
2201237 7488027, 9532 20  0
2201237 7488154, 8406 19  0
2201237 7488344, 15687 18  0
2201237 7488385, 15543 17  0
2201237 7488563, 20847 16  0
2201237 7488631, 8757 15  0
2201237 7488641, 21149 14  0
2201237 7488849, 30786 13  0
2201237 7488864, 33023 12  0
2201237 7488905, 41044 11  0
2201237 7488945, 48747 10  0
2201237 7488970, 50661 9  0
2201237 7488978, 55470 8  0
2201237 7489026, 71437 7  0
2201237 7489046, 115506 6  0
2201237 7489050, 72921 5  0
2201237 7489055, 94386 4  0
2201237 7489056, 119681 3  0
2201237 7489068, 194554 2  0
2201237 7489069, 229171 1  0
2201238 6596931, 2 34  0
2201238 6640226, 1 33  0
2201238 7313407, 22 32  0
2201238 7320396, 28 31  0
2201238 7411314, 73 30  0
2201238 7416945, 85 29  0
2201238 7438887, 89 28  0
2201238 7460371, 250 27  0
2201238 7479899, 1016 26  0
2201238 7480996, 887 25  0
2201238 7483709, 1440 24  0
2201238 7484347, 1931 23  0
2201238 7485564, 2561 22  0
2201238 7487259, 6161 21  0
2201238 7487367, 6256 20  0
2201238 7487514, 5501 19  0
2201238 7487544, 5936 18  0
2201238 7487731, 7317 17  0
2201238 7488274, 9251 16  0
2201238 7488284, 12925 15  0
2201238 7488538, 11341 14  0
2201238 7488611, 16475 13  0
2201238 7488897, 29989 12  0
2201238 7488924, 39143 11  0
2201238 7488941, 40148 10  0
2201238 7488970, 52363 9  0
2201238 7489029, 71603 8  0
2201238 7489039, 67753 7  0
2201238 7489055, 99317 6  0
2201238 7489060, 128899 5  0
2201238 7489062, 183087 4  0
2201238 7489064, 153257 3  0
2201238 7489067, 193074 2  0
2201238 7489071, 291413 1  0
2201239 6335322, 1 34  0
2201239 7469318, 269 32  0
2201239 7478165, 614 31  0
2201239 7479186, 563 30  0
2201239 7486954, 4228 29  0
2201239 7487054, 4294 28  0
2201239 7487260, 3411 27  0
2201239 7487414, 6393 26  0
2201239 7487551, 4190 25  0
2201239 7487683, 6548 24  0
2201239 7488189, 9601 23  0
2201239 7488270, 5831 22  0
2201239 7488448, 14153 21  0
2201239 7488539, 16905 20  0
2201239 7488562, 13799 19  0
2201239 7488681, 20727 18  0
2201239 7488765, 18298 17  0
2201239 7488776, 25161 16  0
2201239 7488796, 28278 15  0
2201239 7488810, 26348 14  0
2201239 7488886, 22010 13  0
2201239 7488889, 20808 12  0
2201239 7488919, 24399 11  0
2201239 7488938, 20196 10  0
2201239 7488959, 50546 9  0
2201239 7488997, 32017 8  0
2201239 7489022, 55009 7  0
2201239 7489050, 69975 6  0
2201239 7489052, 90669 5  0
2201239 7489055, 97555 4  0
2201239 7489059, 120856 3  0
2201239 7489068, 210875 2  0
2201239 7489070, 206050 1  0
2201240 7184684, 7 33  0
2201240 7419225, 62 32  0
2201240 7419714, 71 31  0
2201240 7456208, 177 30  0
2201240 7477010, 425 29  0
2201240 7478443, 701 28  0
2201240 7483306, 1449 27  0
2201240 7485597, 2793 26  0
2201240 7485758, 2112 25  0
2201240 7485819, 2125 24  0
2201240 7487773, 5598 23  0
2201240 7487874, 8451 22  0
2201240 7487913, 7512 21  0
2201240 7488442, 11788 20  0
2201240 7488682, 19461 19  0
2201240 7488762, 16445 18  0
2201240 7488798, 24016 17  0
2201240 7488877, 22044 16  0
2201240 7488908, 25997 15  0
2201240 7488924, 38318 14  0
2201240 7488932, 33593 13  0
2201240 7488953, 44991 12  0
2201240 7488960, 49467 11  0
2201240 7488974, 40542 10  0
2201240 7488992, 36491 9  0
2201240 7489001, 56109 8  0
2201240 7489002, 59739 7  0
2201240 7489027, 48991 6  0
2201240 7489054, 115100 5  0
2201240 7489058, 106800 4  0
2201240 7489065, 128625 3  0
2201240 7489068, 217072 2  0
2201240 7489071, 292786 1  0
2201241 6984088, 3 35  0
2201241 7189848, 5 34  0
2201241 7219149, 13 33  0
2201241 7331069, 24 32  0
2201241 7363422, 29 31  0
2201241 7432502, 67 30  0
2201241 7439984, 87 29  0
2201241 7444530, 127 28  0
2201241 7471664, 385 27  0
2201241 7474067, 490 26  0
2201241 7482369, 1236 25  0
2201241 7482575, 693 24  0
2201241 7486161, 2056 23  0
2201241 7486376, 3586 22  0
2201241 7487103, 4501 21  0
2201241 7487110, 4042 20  0
2201241 7487740, 4007 19  0
2201241 7488263, 12478 18  0
2201241 7488442, 10960 17  0
2201241 7488494, 12337 16  0
2201241 7488562, 13301 15  0
2201241 7488564, 11309 14  0
2201241 7488582, 15204 13  0
2201241 7488960, 45518 12  0
2201241 7488969, 43618 11  0
2201241 7488970, 49875 10  0
2201241 7488987, 60675 9  0
2201241 7488988, 26725 8  0
2201241 7488995, 36069 7  0
2201241 7489005, 59409 6  0
2201241 7489027, 41748 5  0
2201241 7489034, 57416 4  0
2201241 7489055, 93388 3  0
2201241 7489064, 131941 2  0
2201241 7489065, 115572 1  0
2201242 7422684, 99 34  0
2201242 7463752, 255 33  0
2201242 7472930, 489 32  0
2201242 7475979, 728 31  0
2201242 7479843, 1020 30  0
2201242 7484656, 2308 29  0
2201242 7486457, 3484 28  0
2201242 7486572, 4473 27  0
2201242 7486994, 4277 26  0
2201242 7487112, 6307 25  0
2201242 7487488, 7441 24  0
2201242 7487633, 6970 23  0
2201242 7487845, 8577 22  0
2201242 7487905, 9564 21  0
2201242 7487938, 10621 20  0
2201242 7488192, 10997 19  0
2201242 7488273, 12016 18  0
2201242 7488361, 13239 17  0
2201242 7488502, 13848 16  0
2201242 7488723, 22424 15  0
2201242 7488757, 23648 14  0
2201242 7488763, 23147 13  0
2201242 7488779, 25472 12  0
2201242 7488808, 30084 11  0
2201242 7488853, 27547 10  0
2201242 7488972, 44468 9  0
2201242 7488977, 60143 8  0
2201242 7489010, 67548 7  0
2201242 7489061, 161658 6  0
2201242 7489063, 172584 5  0
2201242 7489064, 147976 4  0
2201242 7489065, 124323 3  0
2201242 7489066, 198786 2  0
2201242 7489069, 246253 1  0
2201243 7142394, 6 28  0
2201243 7194508, 4 27  0
2201243 7325491, 4 26  0
2201243 7378583, 15 25  0
2201243 7401805, 33 24  0
2201243 7414564, 67 23  0
2201243 7440923, 120 22  0
2201243 7461342, 190 21  0
2201243 7480965, 953 20  0
2201243 7481967, 1099 19  0
2201243 7486331, 3090 18  0
2201243 7486664, 2965 17  0
2201243 7486742, 4481 16  0
2201243 7487319, 5185 15  0
2201243 7487658, 6023 14  0
2201243 7488051, 6537 13  0
2201243 7488266, 10168 12  0
2201243 7488533, 15488 11  0
2201243 7488620, 6466 10  0
2201243 7488728, 20073 9  0
2201243 7488889, 17994 8  0
2201243 7488980, 50377 7  0
2201243 7489019, 29931 6  0
2201243 7489021, 52574 5  0
2201243 7489033, 55946 4  0
2201243 7489051, 77907 3  0
2201243 7489057, 108166 2  0
2201243 7489059, 107501 1  0
2201244 6849222, 4 35  0
2201244 7427623, 103 34  0
2201244 7469612, 460 33  0
2201244 7482890, 1626 32  0
2201244 7483249, 1703 31  0
2201244 7483750, 2119 30  0
2201244 7484855, 2621 29  0
2201244 7486023, 3688 28  0
2201244 7487044, 5916 27  0
2201244 7487567, 8220 26  0
2201244 7487935, 10967 25  0
2201244 7487983, 8316 24  0
2201244 7487993, 5166 23  0
2201244 7488064, 11011 22  0
2201244 7488267, 13987 21  0
2201244 7488390, 12115 20  0
2201244 7488447, 17546 19  0
2201244 7488504, 17861 18  0
2201244 7488521, 18105 17  0
2201244 7488590, 20645 16  0
2201244 7488619, 20502 15  0
2201244 7488669, 25483 14  0
2201244 7488794, 32791 13  0
2201244 7488823, 33608 12  0
2201244 7488832, 31818 11  0
2201244 7488864, 38057 10  0
2201244 7488885, 42788 9  0
2201244 7488898, 40949 8  0
2201244 7488902, 42270 7  0
2201244 7488921, 45093 6  0
2201244 7488952, 50479 5  0
2201244 7488968, 54988 4  0
2201244 7488989, 66554 3  0
2201244 7488998, 67851 2  0
2201244 7489006, 50824 1  0
2201245 6353632, 1 31  0
2201245 6811804, 2 30  0
2201245 7190688, 11 29  0
2201245 7275103, 20 28  0
2201245 7292507, 20 27  0
2201245 7297499, 22 26  0
2201245 7468633, 298 25  0
2201245 7471539, 404 24  0
2201245 7473033, 367 23  0
2201245 7475389, 572 22  0
2201245 7481095, 1193 21  0
2201245 7484292, 1995 20  0
2201245 7484672, 1881 19  0
2201245 7485037, 2554 18  0
2201245 7485910, 2807 17  0
2201245 7487346, 6133 16  0
2201245 7488240, 12201 15  0
2201245 7488251, 12789 14  0
2201245 7488269, 9161 13  0
2201245 7488290, 11604 12  0
2201245 7488456, 14680 11  0
2201245 7488492, 11976 10  0
2201245 7488586, 13663 9  0
2201245 7488682, 17104 8  0
2201245 7488793, 20220 7  0
2201245 7488938, 19904 6  0
2201245 7489042, 63072 5  0
2201245 7489045, 102363 4  0
2201245 7489068, 213945 3  0
2201245 7489070, 215301 2  0
2201245 7489071, 284902 1  0
2201246 6848512, 2 30  0
2201246 7233833, 9 29  0
2201246 7284992, 9 28  0
2201246 7328672, 10 27  0
2201246 7387322, 12 26  0
2201246 7387782, 26 25  0
2201246 7396376, 19 24  0
2201246 7417816, 29 23  0
2201246 7469033, 39 22  0
2201246 7476915, 277 21  0
2201246 7477436, 98 20  0
2201246 7482576, 1076 19  0
2201246 7483001, 655 18  0
2201246 7484874, 1097 17  0
2201246 7485230, 1450 16  0
2201246 7486062, 1735 15  0
2201246 7486079, 1096 14  0
2201246 7486291, 2601 13  0
2201246 7486681, 1552 12  0
2201246 7487274, 2984 11  0
2201246 7487405, 3781 10  0
2201246 7487417, 5051 9  0
2201246 7487886, 7125 8  0
2201246 7487904, 4159 7  0
2201246 7487986, 6710 6  0
2201246 7488114, 4944 5  0
2201246 7488344, 5463 4  0
2201246 7488745, 8789 3  0
2201246 7488830, 18609 2  0
2201246 7488849, 19141 1  0
2201247 7259384, 13 33  0
2201247 7271974, 12 32  0
2201247 7459397, 195 31  0
2201247 7484492, 1954 30  0
2201247 7485511, 3217 29  0
2201247 7485854, 3459 28  0
2201247 7485952, 3672 27  0
2201247 7486622, 4100 26  0
2201247 7486642, 4485 25  0
2201247 7486846, 4242 24  0
2201247 7487130, 5638 23  0
2201247 7487580, 7595 22  0
2201247 7488359, 13712 21  0
2201247 7488395, 13526 20  0
2201247 7488405, 15134 19  0
2201247 7488432, 14526 18  0
2201247 7488437, 16847 17  0
2201247 7488579, 16815 16  0
2201247 7488643, 20183 15  0
2201247 7488727, 25601 14  0
2201247 7488824, 30047 13  0
2201247 7488840, 29720 12  0
2201247 7488848, 33093 11  0
2201247 7488859, 34194 10  0
2201247 7488950, 47927 9  0
2201247 7488984, 39423 8  0
2201247 7489000, 53135 7  0
2201247 7489017, 69479 6  0
2201247 7489047, 102146 5  0
2201247 7489059, 123720 4  0
2201247 7489060, 125187 3  0
2201247 7489067, 185636 2  0
2201247 7489068, 216888 1  0
2201248 6119463, 1 35  0
2201248 7334614, 21 34  0
2201248 7374101, 26 33  0
2201248 7465868, 356 32  0
2201248 7469099, 343 31  0
2201248 7470795, 335 30  0
2201248 7474233, 302 29  0
2201248 7479150, 694 28  0
2201248 7479351, 683 27  0
2201248 7480922, 670 26  0
2201248 7483075, 841 25  0
2201248 7485192, 1968 24  0
2201248 7485298, 1189 23  0
2201248 7485493, 1728 22  0
2201248 7486151, 2465 21  0
2201248 7487252, 4042 20  0
2201248 7487589, 7205 19  0
2201248 7487849, 7874 18  0
2201248 7487877, 8640 17  0
2201248 7488063, 8795 16  0
2201248 7488247, 10028 15  0
2201248 7488265, 9735 14  0
2201248 7488639, 19442 13  0
2201248 7488654, 15291 12  0
2201248 7488871, 30577 11  0
2201248 7488913, 33091 10  0
2201248 7488928, 36907 9  0
2201248 7488934, 26798 8  0
2201248 7488986, 54528 7  0
2201248 7488991, 32119 6  0
2201248 7488999, 60294 5  0
2201248 7489003, 32010 4  0
2201248 7489029, 58497 3  0
2201248 7489047, 78828 2  0
2201248 7489054, 93159 1  0
2201249 6450005, 1 34  0
2201249 6691767, 3 33  0
2201249 6867051, 3 32  0
2201249 7097037, 6 31  0
2201249 7419021, 89 30  0
2201249 7423204, 40 29  0
2201249 7432879, 95 28  0
2201249 7442226, 101 27  0
2201249 7448189, 43 26  0
2201249 7455329, 195 25  0
2201249 7456561, 167 24  0
2201249 7468048, 287 23  0
2201249 7468612, 298 22  0
2201249 7469853, 348 21  0
2201249 7471560, 466 20  0
2201249 7472166, 428 19  0
2201249 7476960, 680 18  0
2201249 7479838, 707 17  0
2201249 7480987, 575 16  0
2201249 7481454, 1032 15  0
2201249 7481999, 1270 14  0
2201249 7483060, 1501 13  0
2201249 7484073, 1077 12  0
2201249 7485010, 2527 11  0
2201249 7485446, 2402 10  0
2201249 7486926, 3343 9  0
2201249 7487245, 4239 8  0
2201249 7487376, 1505 7  0
2201249 7487561, 5592 6  0
2201249 7488047, 6797 5  0
2201249 7488596, 2251 4  0
2201249 7488601, 12436 3  0
2201249 7488873, 20130 2  0
2201249 7488875, 5473 1  0
2201250 6864107, 1 30  0
2201250 7049566, 2 29  0
2201250 7070670, 7 28  0
2201250 7119545, 3 27  0
2201250 7320971, 9 26  0
2201250 7384454, 18 25  0
2201250 7443582, 83 24  0
2201250 7457819, 72 23  0
2201250 7468981, 250 22  0
2201250 7469896, 196 21  0
2201250 7474774, 270 20  0
2201250 7480418, 554 19  0
2201250 7481580, 956 18  0
2201250 7483458, 680 17  0
2201250 7484088, 766 16  0
2201250 7486066, 2734 15  0
2201250 7486567, 1868 14  0
2201250 7487123, 3973 13  0
2201250 7487526, 3833 12  0
2201250 7487735, 5086 11  0
2201250 7487817, 5429 10  0
2201250 7487932, 5423 9  0
2201250 7488285, 6568 8  0
2201250 7488577, 8769 7  0
2201250 7488741, 8004 6  0
2201250 7488766, 10815 5  0
2201250 7488845, 11968 4  0
2201250 7488856, 15194 3  0
2201250 7488937, 21067 2  0
2201250 7488970, 25989 1  0
2201251 7293574, 22 35  0
2201251 7441884, 142 34  0
2201251 7475196, 688 33  0
2201251 7482393, 1406 32  0
2201251 7485718, 3312 31  0
2201251 7485869, 3462 30  0
2201251 7485941, 3144 29  0
2201251 7486469, 4493 28  0
2201251 7486716, 4562 27  0
2201251 7487023, 5562 26  0
2201251 7487187, 6170 25  0
2201251 7487643, 7494 24  0
2201251 7487818, 8848 23  0
2201251 7488374, 14462 22  0
2201251 7488416, 8651 21  0
2201251 7488444, 15586 20  0
2201251 7488630, 21740 19  0
2201251 7488692, 25446 18  0
2201251 7488755, 24884 17  0
2201251 7488861, 35182 16  0
2201251 7488874, 36421 15  0
2201251 7488889, 20384 14  0
2201251 7488957, 44213 13  0
2201251 7488971, 63153 12  0
2201251 7488983, 64448 11  0
2201251 7489006, 71808 10  0
2201251 7489011, 70669 9  0
2201251 7489026, 83560 8  0
2201251 7489038, 79415 7  0
2201251 7489042, 70190 6  0
2201251 7489056, 128177 5  0
2201251 7489065, 126065 4  0
2201251 7489066, 201745 3  0
2201251 7489067, 206280 2  0
2201251 7489071, 291575 1  0
2201252 7411789, 75 34  0
2201252 7421165, 60 33  0
2201252 7424715, 69 32  0
2201252 7425884, 72 31  0
2201252 7470987, 291 30  0
2201252 7476460, 546 29  0
2201252 7480982, 1039 28  0
2201252 7481035, 1127 27  0
2201252 7481933, 885 26  0
2201252 7482893, 1475 25  0
2201252 7482992, 1287 24  0
2201252 7484098, 1735 23  0
2201252 7484139, 1198 22  0
2201252 7485815, 2261 21  0
2201252 7485885, 3370 20  0
2201252 7486445, 2420 19  0
2201252 7486790, 2880 18  0
2201252 7487639, 3374 17  0
2201252 7487709, 5636 16  0
2201252 7487814, 7890 15  0
2201252 7488204, 10206 14  0
2201252 7488285, 10702 13  0
2201252 7488594, 14656 12  0
2201252 7488621, 17217 11  0
2201252 7488750, 24995 10  0
2201252 7488796, 23750 9  0
2201252 7488842, 21831 8  0
2201252 7488848, 29412 7  0
2201252 7488855, 30544 6  0
2201252 7488936, 33767 5  0
2201252 7488979, 34926 4  0
2201252 7488995, 33825 3  0
2201252 7489009, 30725 2  0
2201252 7489019, 34907 1  0
2201253 6848365, 5 35  0
2201253 7170459, 8 33  0
2201253 7239711, 4 32  0
2201253 7330454, 30 31  0
2201253 7373219, 40 30  0
2201253 7392703, 26 29  0
2201253 7396320, 10 28  0
2201253 7440780, 121 27  0
2201253 7449801, 59 26  0
2201253 7455317, 208 25  0
2201253 7455935, 117 24  0
2201253 7460902, 102 23  0
2201253 7465191, 139 22  0
2201253 7466036, 117 21  0
2201253 7467503, 252 20  0
2201253 7469520, 59 19  0
2201253 7470202, 117 18  0
2201253 7474119, 416 17  0
2201253 7476092, 574 16  0
2201253 7477107, 612 15  0
2201253 7479020, 227 14  0
2201253 7479738, 449 13  0
2201253 7479920, 1142 12  0
2201253 7479978, 1049 11  0
2201253 7480490, 379 10  0
2201253 7481306, 1336 9  0
2201253 7481818, 193 8  0
2201253 7482242, 1357 7  0
2201253 7484072, 1998 6  0
2201253 7484973, 2322 5  0
2201253 7486842, 690 4  0
2201253 7487659, 6811 3  0
2201253 7488074, 9462 2  0
2201253 7488368, 10742 1  0
2201254 7183732, 12 35  0
2201254 7313868, 24 34  0
2201254 7443596, 162 33  0
2201254 7446451, 171 32  0
2201254 7471957, 575 31  0
2201254 7479448, 957 30  0
2201254 7481160, 1328 29  0
2201254 7481426, 1340 28  0
2201254 7485833, 3449 27  0
2201254 7486437, 4183 26  0
2201254 7486899, 5323 25  0
2201254 7487517, 7684 24  0
2201254 7487757, 8046 23  0
2201254 7488239, 12492 22  0
2201254 7488472, 17431 21  0
2201254 7488491, 15293 20  0
2201254 7488562, 14124 19  0
2201254 7488590, 19872 18  0
2201254 7488682, 18237 17  0
2201254 7488690, 21199 16  0
2201254 7488715, 25792 15  0
2201254 7488840, 31217 14  0
2201254 7488949, 51003 13  0
2201254 7488960, 48754 12  0
2201254 7488968, 54898 11  0
2201254 7489006, 70348 10  0
2201254 7489015, 74132 9  0
2201254 7489031, 57837 8  0
2201254 7489040, 66962 7  0
2201254 7489049, 87855 6  0
2201254 7489053, 117895 5  0
2201254 7489060, 128679 4  0
2201254 7489064, 150298 3  0
2201254 7489068, 221657 2  0
2201254 7489071, 293864 1  0
2201255 7205661, 14 33  0
2201255 7227623, 17 32  0
2201255 7277667, 21 31  0
2201255 7341119, 22 30  0
2201255 7392817, 53 29  0
2201255 7412731, 12 28  0
2201255 7415827, 95 27  0
2201255 7422756, 103 26  0
2201255 7438661, 95 25  0
2201255 7441026, 126 24  0
2201255 7459158, 140 23  0
2201255 7459308, 236 22  0
2201255 7460578, 278 21  0
2201255 7461634, 305 20  0
2201255 7465155, 330 19  0
2201255 7470850, 334 18  0
2201255 7472161, 555 17  0
2201255 7472375, 35 16  0
2201255 7473688, 353 15  0
2201255 7474036, 419 14  0
2201255 7474856, 610 13  0
2201255 7475946, 682 12  0
2201255 7476060, 729 11  0
2201255 7477270, 537 10  0
2201255 7477691, 773 9  0
2201255 7478141, 251 8  0
2201255 7479057, 641 7  0
2201255 7482137, 1084 6  0
2201255 7483190, 948 5  0
2201255 7486140, 1656 4  0
2201255 7488716, 7246 3  0
2201255 7488919, 5423 2  0
2201255 7488922, 8245 1  0
2201256 6997325, 4 35  0
2201256 7390743, 24 34  0
2201256 7454302, 190 33  0
2201256 7457537, 267 32  0
2201256 7466553, 227 31  0
2201256 7474061, 622 30  0
2201256 7477276, 582 29  0
2201256 7480337, 996 28  0
2201256 7481006, 517 27  0
2201256 7481188, 1127 26  0
2201256 7481287, 1120 25  0
2201256 7484088, 1327 24  0
2201256 7485695, 2625 23  0
2201256 7486179, 3362 22  0
2201256 7486987, 5296 21  0
2201256 7487123, 5118 20  0
2201256 7487131, 5642 19  0
2201256 7487504, 6396 18  0
2201256 7487563, 6603 17  0
2201256 7487592, 5581 16  0
2201256 7487808, 6594 15  0
